RMSD_active,RMSD_inactive
1.618746161460876465e+00,1.498641967773437500e+00
1.626191973686218262e+00,1.517418861389160156e+00
1.624565601348876953e+00,1.517160058021545410e+00
1.624829530715942383e+00,1.507692098617553711e+00
1.625592947006225586e+00,1.523611307144165039e+00
1.628223061561584473e+00,1.513756036758422852e+00
1.608393311500549316e+00,1.490933895111083984e+00
1.671218991279602051e+00,1.541573166847229004e+00
1.644175767898559570e+00,1.525906205177307129e+00
1.607979893684387207e+00,1.496316790580749512e+00
1.601555466651916504e+00,1.497511506080627441e+00
1.632566928863525391e+00,1.532789587974548340e+00
1.625759959220886230e+00,1.514602541923522949e+00
1.605195164680480957e+00,1.478144884109497070e+00
1.633855819702148438e+00,1.516795635223388672e+00
1.650046944618225098e+00,1.520351290702819824e+00
1.622545957565307617e+00,1.503978490829467773e+00
1.641158938407897949e+00,1.518708348274230957e+00
1.631685018539428711e+00,1.510369300842285156e+00
1.644658207893371582e+00,1.523169398307800293e+00
1.631624817848205566e+00,1.515288472175598145e+00
1.614851593971252441e+00,1.497364759445190430e+00
1.660898447036743164e+00,1.546512842178344727e+00
1.647181987762451172e+00,1.523047685623168945e+00
1.637132167816162109e+00,1.517558813095092773e+00
1.650344848632812500e+00,1.521417260169982910e+00
1.641271233558654785e+00,1.520305633544921875e+00
1.649909377098083496e+00,1.533184051513671875e+00
1.630445241928100586e+00,1.525791525840759277e+00
1.652819156646728516e+00,1.524605751037597656e+00
1.615025639533996582e+00,1.522207736968994141e+00
1.630333065986633301e+00,1.492079496383666992e+00
1.623302936553955078e+00,1.506483435630798340e+00
1.668121457099914551e+00,1.544385075569152832e+00
1.646029710769653320e+00,1.526837110519409180e+00
1.634237647056579590e+00,1.532758355140686035e+00
1.628368496894836426e+00,1.497606635093688965e+00
1.654796004295349121e+00,1.544351816177368164e+00
1.606554150581359863e+00,1.489156723022460938e+00
1.625646829605102539e+00,1.519845604896545410e+00
1.604936003684997559e+00,1.505789756774902344e+00
1.642345190048217773e+00,1.520702600479125977e+00
1.635058045387268066e+00,1.488579392433166504e+00
1.651670813560485840e+00,1.529883742332458496e+00
1.667822360992431641e+00,1.534770965576171875e+00
1.609261035919189453e+00,1.513284325599670410e+00
1.657376408576965332e+00,1.540697336196899414e+00
1.615390181541442871e+00,1.503663182258605957e+00
1.612330555915832520e+00,1.507547616958618164e+00
1.614709019660949707e+00,1.509030222892761230e+00
1.628597497940063477e+00,1.522430300712585449e+00
1.631724596023559570e+00,1.513085722923278809e+00
1.646920919418334961e+00,1.516778707504272461e+00
1.635079979896545410e+00,1.521840572357177734e+00
1.623580694198608398e+00,1.508743762969970703e+00
1.660416960716247559e+00,1.543094515800476074e+00
1.629165172576904297e+00,1.521469354629516602e+00
1.646049499511718750e+00,1.513873219490051270e+00
1.613641381263732910e+00,1.509030342102050781e+00
